id,title ,image_link ,country ,years ,director_description,leader,star ,description,tags,
172,卢旺达饭店,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p470419493.jpg,英国 南非 意大利,2004, 特瑞·乔治 Terry George, 唐·钱德尔 Don Cheadle,8.9,当这个世界闭上双眼，他却敞开了怀抱。,剧情/历史/战争,
173,忠犬八公物语,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1576418852.jpg,日本,1987, Seijirô Kôyama, 山本圭 Kei Yamamoto,9.2,养狗三日，便会对你终其一生。,剧情,
174,头脑特工队,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2266293606.jpg,美国,2015, 彼特·道格特 Pete Docter, 彼特·道格特 Pete Docter,8.7,愿我们都不用长大，每一座城堡都能永远存在。,喜剧/动画/冒险,
175,模仿游戏,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2255040492.jpg,英国 美国,2014, 莫滕·泰杜姆 Morten Tyldum, 本尼迪克特·康伯巴奇 Benedict C...,8.7,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,剧情/传记/战争/同性,
176,黑客帝国3：矩阵革命,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p443461818.jpg,美国 澳大利亚,2003, Andy Wachowski, Andy Wachowski,8.7,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,动作/科幻,
177,一个叫欧维的男人决定去死,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2406624993.jpg,瑞典,2015, 汉内斯·赫尔姆 Hannes Holm, 罗夫·拉斯加德 Rolf Lassgård...,8.8,惠及一生的美丽。,剧情,
178,雨人,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p942376281.jpg,美国,1988, 巴瑞·莱文森 Barry Levinson, 达斯汀·霍夫曼 Dustin Hoffman ...,8.7,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,剧情,
179,你看起来好像很好吃,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p709670262.jpg,日本,2010, 藤森雅也 Masaya Fujimori, 山口胜平 Kappei Yamaguchi,8.9,感情不分食草或者食肉。,剧情/动画/儿童,
180,哈利·波特与阿兹卡班的囚徒,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910812549.jpg,英国 美国,2004, Alfonso Cuarón, 丹尼尔·雷德克里夫 Daniel Radcliffe,8.6,不一样的导演，不一样的哈利·波特。,奇幻/冒险,
181,无敌破坏王,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1735642656.jpg,美国,2012, 瑞奇·莫尔 Rich Moore, 约翰·C·赖利 John C. Reilly,8.7,迪士尼和皮克斯拿错剧本的产物。,喜剧/动画/奇幻/冒险,
182,未麻的部屋,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1351050722.jpg,日本,1997, 今敏 Satoshi Kon, 岩男润子 Junko Iwao,8.9,好的剧本是，就算你猜到了结局也猜不到全部。,动画/奇幻/惊悚,
183,恋恋笔记本,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p483604864.jpg,美国,2004, 尼克·卡索维茨 Nick Cassavetes, 瑞恩·高斯林 Ryan Gosling,8.5,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,剧情/爱情,
184,冰川时代,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910895719.jpg,美国,2002, 卡洛斯·沙尔丹哈 Carlos Saldanha, 卡洛斯·沙尔丹哈 Carlos Saldanha,8.6,松鼠才是角儿。,喜剧/动画/冒险,
185,哈利·波特与密室,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1082651990.jpg,美国 英国 德国,2002, Chris Columbus, 丹尼尔·雷德克里夫 Daniel Radcliffe,8.6,魔法的密室之门已打开...,奇幻/冒险,
186,海街日记,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2232247487.jpg,日本,2015, 是枝裕和 Hirokazu Koreeda, 绫濑遥 Haruka Ayase,8.8,是枝裕和的家庭习作。,剧情/家庭,
187,新世界,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1903379979.jpg,韩国,2013, 朴勋政 Hoon-jung Park, 李政宰 Jung-Jae Lee,8.8,要做就做得狠一点，这样才能活下去。,剧情/犯罪,
