id,title ,image_link ,country ,years ,director_description,leader,star ,description,tags,
25,我控诉 J'accuse,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2570139404.jpg,法国/意大利,2019,罗曼·波兰斯基,让·杜雅尔丹 / 路易·加瑞尔 / 艾玛纽尔·塞尼耶,7.4,,剧/情/ /// /历/史/ /// /惊/悚,
26,饥饿站台 El hoyo,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2566870171.jpg,西班牙,2019,加尔德·加兹特鲁·乌鲁蒂亚,伊万·马萨戈 / 佐里昂·伊圭里奥尔 / 安东尼亚·圣胡安,7.8,,科/幻/ /// /惊/悚,
27,隐形人 The Invisible Man,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2582428806.jpg,澳大利亚/美国/加拿大/英国,2020,雷·沃纳尔,伊丽莎白·莫斯 / 奥利弗·杰森-科恩 / 阿尔迪斯·霍吉,7.3,,科/幻/ /// /惊/悚/ /// /恐/怖,
28,爱玛 Emma.,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2574852528.jpg,英国,2020,奥特姆·代·怀尔德,安雅·泰勒-乔伊 / 强尼·弗林 / 比尔·奈伊,7.1,,剧/情/ /// /喜/剧,
29,狩猎 The Hunt,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2585533507.jpg,美国,2020,克雷格·卓贝,贝蒂·吉尔平 / 希拉里·斯万克 / 艾玛·罗伯茨,7.3,,动/作/ /// /惊/悚,
30,我真正的天才女友 La mia amica geniale,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2549799049.jpg,意大利,2018,克拉丽莎·卡佩拉,盖娅·吉拉切 / 玛格丽塔·马祖可 / 伊利莎·德尔·吉尼欧,9.2,,纪/录/片,
31,真相 La vérité,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2565063791.jpg,法国/日本,2019,是枝裕和,凯瑟琳·德纳芙 / 朱丽叶·比诺什 / 伊桑·霍克,7.1,,剧/情,
32,夕雾花园 The Garden of Evening Mists,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2570362325.jpg,马来西亚/英国,2019,林书宇,李心洁 / 阿部宽 / 张艾嘉,7.2,,剧/情/ /// /历/史,
33,窈窕淑男的日记 ตุ๊ดซี่ส์แอนด์ เดอะเฟค,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2576821710.jpg,泰国,2019,基提哈克·通加姆,帕塔拉萨亚·克鲁阿苏旺斯里 / 查伦舒克·帕奥佩茨 / 可林桑拉铺·皮木颂克朗,7.2,,喜/剧/ /// /同/性,
34,热带雨,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2573124645.jpg,新加坡/中国台湾,2019,陈哲艺,杨雁雁 / 许家乐 / 李铭顺,7.7,,剧/情,
35,逃离比勒陀利亚 Escape from Pretoria,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2589768807.jpg,英国/澳大利亚,2020,弗朗西斯·安南,丹尼尔·雷德克里夫 / 伊恩·哈特 / 丹尼尔·韦伯,7.6,,剧/情/ /// /犯/罪,
36,切尔诺贝利·禁区电影版 Чернобыль: Зона отчуждения. Финал,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2570615901.jpg,俄罗斯,2019,德米特里·基谢廖夫,康斯坦丁·达维多夫 / 谢尔盖 罗曼诺维奇 / 克里斯蒂娜·卡琴斯卡娅,7.4,,科/幻/ /// /悬/疑,
37,系统破坏者 Systemsprenger,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2546950911.jpg,德国,2019,诺拉·芬沙伊德,海伦娜·曾格尔 / 阿尔布雷希特·舒赫 / 加布里拉·玛利亚·施迈德,7.2,,剧/情,
38,后会有期 Come As You Are,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557711338.jpg,美国,2019,Richard Wong,格兰特·罗森梅耶 / 司徒颂曦 / 拉维·帕特尔,7.2,,喜/剧,
39,德菲因与卡罗尔：反叛缪斯 Delphine et Carole, insoumuses,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2547372201.jpg,法国/瑞士,2019,卡利斯托·麦克诺迪,卡罗尔·罗索普洛斯 / 德菲因·塞里格 / 香特尔·阿克曼,8.4,,纪/录/片,
40,勇者斗恶龙 你的故事 ドラゴンクエスト ユア・ストーリー,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2560003941.jpg,日本,2019,山崎贵 / 八木龙一 / 花房真,佐藤健 / 有村架纯 / 波瑠,7.8,,动/画,
